Name,marked_point
p_picks_Exp_T018_Run3_Traces_EventID_14_trace1,117485
p_picks_Exp_T018_Run3_Traces_EventID_14_trace2,123017
p_picks_Exp_T018_Run3_Traces_EventID_14_trace3,123076
p_picks_Exp_T018_Run3_Traces_EventID_14_trace4,123199
p_picks_Exp_T018_Run3_Traces_EventID_14_trace5,121127
p_picks_Exp_T018_Run3_Traces_EventID_14_trace6,121311
p_picks_Exp_T018_Run3_Traces_EventID_14_trace7,122094
p_picks_Exp_T018_Run3_Traces_EventID_14_trace8,122938
p_picks_Exp_T018_Run3_Traces_EventID_14_trace9,123701
