Name,marked_point
p_picks_Exp_T018_Run2_EventID_5_trace1,120713
p_picks_Exp_T018_Run2_EventID_5_trace2,120745
p_picks_Exp_T018_Run2_EventID_5_trace3,120349
p_picks_Exp_T018_Run2_EventID_5_trace4,119772
p_picks_Exp_T018_Run2_EventID_5_trace5,118998
p_picks_Exp_T018_Run2_EventID_5_trace6,118716
p_picks_Exp_T018_Run2_EventID_5_trace7,118802
p_picks_Exp_T018_Run2_EventID_5_trace8,120890
p_picks_Exp_T018_Run2_EventID_5_trace9,121584
